Region_id,ZIP,City,Lat,Lng
109,7431,Bad Tatzmannsdorf,47.33265,16.23003
109,7434,Bernstein,47.40571,16.25577
109,7474,Deutsch Schützen,47.16406,16.44866
109,7503,Großpetersdorf,47.23854,16.31881
109,7473,Hannersdorf,47.22907,16.38779
109,7531,Kemeten,47.24904,16.15092
109,7512,Kohfidisch,47.17528,16.35823
109,7532,Litzelsdorf,47.20685,16.16092
109,7433,Mariasdorf,47.3671,16.23166
109,7411,Markt Allhau,47.29167,16.08045
109,7464,Markt Neuhodis,47.29509,16.39563
109,7511,Mischendorf,47.19406,16.31404
109,7432,Oberschützen,47.35067,16.20741
109,7400,Oberwart,47.2888,16.21086
109,7423,Pinkafeld,47.3716,16.12108
109,7471,Rechnitz,47.30565,16.44042
109,7422,Riedlingsdorf,47.34522,16.13648
109,7501,Rotenturm an der Pinka,47.25239,16.24467
109,7472,Schachendorf,47.26323,16.43386
109,7461,Stadtschlaining,47.32397,16.27919
109,7421,Tauchen-Schaueregg,47.15372,16.26888
109,7435,Unterkohlstätten,47.37586,16.32529
109,7463,Weiden bei Rechnitz,47.30186,16.34756
109,7412,Wolfau,47.2562,16.09508
102,7071,Rust,47.80058,16.67278
210,9551,Bodensdorf,46.6824,13.97177
210,9565,Ebene Reichenau,46.85,13.91639
210,9560,Feldkirchen in Kärnten,46.72397,14.0948
210,9555,Glanegg,46.71484,14.21064
210,9563,Gnesau,46.77539,13.96298
210,9562,Himmelberg,46.74873,14.03742
210,9570,Ossiach,46.6759,13.98546
210,9564,Patergassen,46.81676,13.86674
210,9571,Sirnitz,46.82383,14.0584
210,9554,St. Urban,46.75102,14.16897
210,9552,Steindorf am Ossiacher See,46.6981,14.01081
203,9652,Birnbaum,46.68498,12.88396
203,9635,Dellach,46.66169,13.07955
203,9624,Egg,46.6865,14.09723
203,9615,Görtschach,46.61278,13.465
203,9634,Gundersheim,46.64693,13.12155
203,9620,Hermagor,46.62724,13.37111
203,9631,Jenig,46.62803,13.25275
203,9632,Kirchbach,46.6419,13.18458
203,9640,Kötschach-Mauthen,46.67821,13.00415
203,9653,Liesing,46.69266,12.81637
